Node_ID,Description,Family,Colour (Family)
KU885989,Roseobacter phage RD-1410W1-01,Schitoviridae,#CB874E
MW584202,Mycobacterium phage prophiGD54-2,Vilmaviridae,#79A4A5
MT446419,Escherichia virus TH53,Chaseviridae,#42DB2E
MT108725,Pseudomonas phage Epa5,Mesyanzhinovviridae,#2369F4
OQ995428,Mycobacterium phage SlimJimmy,Vilmaviridae,#79A4A5
KX349901,Bacillus phage Stitch,Salasmaviridae,#91F04E
MG459987,Klebsiella phage Sugarland,Demerecviridae,#EABE70
KF534715,Pectobacterium phage PM1,Chaseviridae,#42DB2E
OU784549,Peduovirus P2,Peduoviridae,#320B0F
OQ737697,Clostridium phage cpp,Guelinviridae,#E57F04
OP870145,Escherichia phage vB_Eco_F26,Straboviridae,#E82358
MZ648031,Microbacterium phage Jannah,Orlajensenviridae,#FF610B
OX241447,Vibrio phage 409E50-1,Zobellviridae,#4CEBB1
PP444719,Proteus phage J3S,Grimontviridae,#851F61
MG592604,Vibrio phage 1.238.B._10N.261.52.F10,Schitoviridae,#CB874E
PP047754,Escherichia phage KEP4,Ackermannviridae,#99CEE5
MN329679,Microbacterium phage Vanisius,Orlajensenviridae,#FF610B
MH674343,Methanobacterium virus Drs3,Anaerodiviridae,#4BB521
MN524844,Bacillus phage vB_Bpu_PumA1,Salasmaviridae,#91F04E
MK524502,Microbacterium phage TimoTea,Orlajensenviridae,#FF610B
OQ709210,Microbacterium phage SeaWolves,Orlajensenviridae,#FF610B
KX349262,Synechococcus phage S-RIM2,Kyanoviridae,#478C15
MH892376,Streptococcus phage SW1151,Aliceevansviridae,#BCA015
KX349241,Synechococcus phage S-RIM2,Kyanoviridae,#478C15
KR054031,Pseudomonas phage DL62,Autographiviridae,#26AD98
MW929175,Pseudomonas phage K4,Zobellviridae,#4CEBB1
OR053651,Salmonella phage PKM.Hi.22.6,Grimontviridae,#851F61
