Node_ID	Description	Lowest Taxa	Colour (Lowest taxa)
MT836084	Bacteriophage sp.	Unclassified	#D3D3D3
MT836083	Bacteriophage sp.	Unclassified	#D3D3D3
MT836082	Bacteriophage sp.	Unclassified	#D3D3D3
MT836081	Bacteriophage sp.	Unclassified	#D3D3D3
MT836080	Bacteriophage sp.	Unclassified	#D3D3D3
MT836079	Bacteriophage sp.	Unclassified	#D3D3D3
MT836078	Bacteriophage sp.	Unclassified	#D3D3D3
MT836077	Bacteriophage sp.	Unclassified	#D3D3D3
MT836076	Bacteriophage sp.	Unclassified	#D3D3D3
MT836075	Bacteriophage sp.	Unclassified	#D3D3D3
MT836074	Bacteriophage sp.	Unclassified	#D3D3D3
MT836073	Bacteriophage sp.	Unclassified	#D3D3D3
MT836072	Bacteriophage sp.	Unclassified	#D3D3D3
MT836071	Bacteriophage sp.	Unclassified	#D3D3D3
MT836070	Bacteriophage sp.	Unclassified	#D3D3D3
MT836069	Bacteriophage sp.	Unclassified	#D3D3D3
MT836068	Bacteriophage sp.	Unclassified	#D3D3D3
MT836067	Bacteriophage sp.	Unclassified	#D3D3D3
MT836066	Bacteriophage sp.	Unclassified	#D3D3D3
MT836065	Bacteriophage sp.	Unclassified	#D3D3D3
MT836064	Bacteriophage sp.	Unclassified	#D3D3D3
MT836063	Bacteriophage sp.	Unclassified	#D3D3D3
MT836062	Bacteriophage sp.	Unclassified	#D3D3D3
MT836061	Bacteriophage sp.	Unclassified	#D3D3D3
MT836060	Bacteriophage sp.	Unclassified	#D3D3D3
MT836059	Bacteriophage sp.	Unclassified	#D3D3D3
MT836058	Bacteriophage sp.	Unclassified	#D3D3D3
MT836057	Bacteriophage sp.	Unclassified	#D3D3D3
MT836056	Bacteriophage sp.	Unclassified	#D3D3D3
MT836055	Bacteriophage sp.	Unclassified	#D3D3D3
MT836054	Bacteriophage sp.	Unclassified	#D3D3D3
MT836053	Bacteriophage sp.	Unclassified	#D3D3D3
MT836052	Bacteriophage sp.	Unclassified	#D3D3D3
