Node_ID	Description	Sub-family	Colour (Sub-family)
MG366115	Acinetobacter phage PBAB25	Unclassified	#D3D3D3
MG366114	Acinetobacter phage PBAB08	Unclassified	#D3D3D3
KU737350	Bacillus phage SageFayge	Bastillevirinae	#44F566
LC371242	Escherichia phage EcS1	Tevenvirinae	#19205D
MG025518	Gokushovirus MK-2017	Gokushovirinae	#FB0055
MG820644	Propionibacterium phage pa33	Unclassified	#D3D3D3
MG820643	Propionibacterium phage pa35	Unclassified	#D3D3D3
MG820642	Propionibacterium phage pa28	Unclassified	#D3D3D3
MG820641	Propionibacterium phage pa615	Unclassified	#D3D3D3
MG820640	Propionibacterium phage pa15	Unclassified	#D3D3D3
MG820639	Propionibacterium phage pa9-6919-4	Unclassified	#D3D3D3
MG820638	Propionibacterium phage pa6919-4	Unclassified	#D3D3D3
MG820637	Propionibacterium phage pa63	Unclassified	#D3D3D3
MG820636	Propionibacterium phage pa29399-1-D_2	Unclassified	#D3D3D3
MG820635	Propionibacterium phage pa29399-1-D_1	Unclassified	#D3D3D3
MG820634	Propionibacterium phage pa27	Unclassified	#D3D3D3
MG820633	Propionibacterium phage pa59	Unclassified	#D3D3D3
MG820632	Propionibacterium phage pa310	Unclassified	#D3D3D3
MG820645	Propionibacterium phage pa3-SS3	Unclassified	#D3D3D3
MF490241	Pseudomonas phage vB_PaeM_E215	Unclassified	#D3D3D3
MF490240	Pseudomonas phage vB_PaeM_E217	Unclassified	#D3D3D3
MF490239	Pseudomonas phage vB_PaeS_S218	Rabinowitzvirinae	#55F9E4
MF490238	Pseudomonas phage vB_PaeP_DEV	Migulavirinae	#51C4E1
MF490237	Pseudomonas phage vB_PaeP_E220	Unclassified	#D3D3D3
MF490236	Pseudomonas phage vB_PaeP_PYO2	Migulavirinae	#51C4E1
HG792103	Escherichia phage P8983	Sepvirinae	#E6D92A
MG845684	Pseudomonas phage NV1	Unclassified	#D3D3D3
MG845865	Escherichia phage YZ1	Studiervirinae	#F8AC65
MF403009	Agrobacterium phage Atu_ph08	Unclassified	#D3D3D3
MF403008	Agrobacterium phage Atu_ph07	Unclassified	#D3D3D3
MF403007	Agrobacterium phage Atu_ph04	Unclassified	#D3D3D3
MF403006	Agrobacterium phage Atu_ph03	Unclassified	#D3D3D3
MF403005	Agrobacterium phage Atu_ph02	Unclassified	#D3D3D3
CP018841	Staphylococcus phage HOB 14.1.R1	Unclassified	#D3D3D3
AP018476	Mycobacterium phage C3	Unclassified	#D3D3D3
AP018471	Mycobacterium phage Y10	Weiservirinae	#56CE0C
AP018469	Mycobacterium phage Y10	Weiservirinae	#56CE0C
MF327006	Shigella phage Sf20	Unclassified	#D3D3D3
MF327007	Shigella phage Sf21	Tevenvirinae	#19205D
MF327009	Shigella phage Sf25	Tevenvirinae	#19205D
MF327008	Shigella phage Sf24	Tevenvirinae	#19205D
MF327004	Shigella phage Sf17	Ounavirinae	#96CC89
MF327003	Shigella phage Sf14	Ounavirinae	#96CC89
MG835858	Klebsiella phage KPN N98	Unclassified	#D3D3D3
MG832642	Escherichia phage HZ2R8	Studiervirinae	#F8AC65
MG711460	Faecalibacterium phage FP_Mushu	Unclassified	#D3D3D3
MG835450	Pontimonas phage phiPsal1	Unclassified	#D3D3D3
MG765276	Lactobacillus phage Nyseid	Tybeckvirinae	#9095CA
MG770897	Staphylococcus phage SH-St 15644	Unclassified	#D3D3D3
MG770379	Klebsiella phage vB_KpnM_KpS110	Unclassified	#D3D3D3
MG763894	Bacillus phage HonestAbe	Bastillevirinae	#44F566
MG744354	Lactobacillus phage Satyr	Tybeckvirinae	#9095CA
MG736918	Erwinia phage vB_EamP-S2	Molineuxvirinae	#626F17
MG721208	Staphylococcus phage vB_SauM_LM12	Twortvirinae	#18F1A6
MG711467	Faecalibacterium phage FP_Taranis	Unclassified	#D3D3D3
MG711466	Faecalibacterium phage FP_Toutatis	Unclassified	#D3D3D3
MG711465	Faecalibacterium phage FP_Brigit	Unclassified	#D3D3D3
MG711464	Faecalibacterium phage FP_Lugh	Unclassified	#D3D3D3
MG711463	Faecalibacterium phage FP_oengus	Unclassified	#D3D3D3
MG711462	Faecalibacterium phage FP_Epona	Unclassified	#D3D3D3
MG711461	Faecalibacterium phage FP_Lagaffe	Unclassified	#D3D3D3
MF327005	Shigella phage Sf19	Ounavirinae	#96CC89
MG708276	Enterococcus phage PMBT2	Unclassified	#D3D3D3
