Node_ID	Description	Family	Colour (Family)
OR387110	Mycolicibacterium phage Alyssa1	Unclassified	#D3D3D3
PQ110032	Staphylococcus phage vB_SauP_PSK	Rountreeviridae	#3E1492
PQ126513	Salmonella phage ZK22	Unclassified	#D3D3D3
PP442064	Klebsiella phage Phi_KR8	Unclassified	#D3D3D3
PP442063	Klebsiella phage Phi_KR1	Unclassified	#D3D3D3
PP442062	Klebsiella phage Phi_K2044	Unclassified	#D3D3D3
PQ066597	Aeromonas phage vB_AdhaM_G2	Unclassified	#D3D3D3
PP456879	Pseudomonas phage KEN51	Unclassified	#D3D3D3
PP456878	Pseudomonas phage KEN19	Unclassified	#D3D3D3
PP456877	Pseudomonas phage KEN49	Unclassified	#D3D3D3
MT989367	Phage MSP1	Unclassified	#D3D3D3
OR427838	Escherichia phage fDHCT2	Unclassified	#D3D3D3
PQ110661	Escherichia phage vB_EcoM_ZYD	Unclassified	#D3D3D3
PQ041310	Salmonella phage SESL	Demerecviridae	#EABE70
OR594184	Escherichia phage vB_EcoM_SHAK9454	Autographiviridae	#26AD98
OR594183	Escherichia phage vB_EcoM_SHAK7858	Autographiviridae	#26AD98
OR594182	Escherichia phage vB_EcoM_SHAK7854	Autographiviridae	#26AD98
OR594181	Escherichia phage vB_EcoM_SHAK7704	Autographiviridae	#26AD98
OR594180	Escherichia phage vB_EcoM_SHAK7693	Autographiviridae	#26AD98
OR594179	Escherichia phage vB_EcoM_SHAK7163	Autographiviridae	#26AD98
OQ503491	Acinetobacter phage vB_AbaA_LLY	Autographiviridae	#26AD98
OP902294	Staphylococcus phage BSwM-KMM1	Unclassified	#D3D3D3
PP786691	Escherichia phage phiEco273	Unclassified	#D3D3D3
PP763603	Mycobacterium phage Wildflower	Unclassified	#D3D3D3
OR472445	Klebsiella phage vB_KpnM_Iguana_ER37	Unclassified	#D3D3D3
PQ037195	Cutibacterium phage vB_CacS-HV1	Unclassified	#D3D3D3
PQ067315	Xanthomonas phage fSU1	Unclassified	#D3D3D3
PQ015379	Pseudomonas phage HRDY3	Unclassified	#D3D3D3
PQ015378	Pseudomonas phage RVTF4	Unclassified	#D3D3D3
PQ014581	Klebsiella phage vB-Kvc-Y10	Unclassified	#D3D3D3
PQ030848	Escherichia phage EC.W8-1	Unclassified	#D3D3D3
PQ030847	Escherichia phage EC.W15-3	Straboviridae	#E82358
PP988008	Escherichia phage phiE31-2	Drexlerviridae	#86048D
PP987310	Salmonella phage Manna	Straboviridae	#E82358
PP986400	Aliivibrio phage vB_Alvi_H905	Unclassified	#D3D3D3
